purl,name,version,ecosystem,file,line,type,license,notes
pkg:npm/chalk@4.1.2,chalk,4.1.2,npm,/home/m3str3/code/rootcause/insecures/dependences/package.json,1,library,N/A,
pkg:npm/lodash@4.17.19,lodash,4.17.19,npm,/home/m3str3/code/rootcause/insecures/dependences/package.json,1,library,N/A,
pkg:npm/axios@1.5.0,axios,1.5.0,npm,/home/m3str3/code/rootcause/insecures/dependences/package.json,1,library,N/A,
pkg:npm/express@4.18.2,express,4.18.2,npm,/home/m3str3/code/rootcause/insecures/dependences/package.json,1,library,N/A,
pkg:npm/mime-types@2.1.34,mime-types,2.1.34,npm,/home/m3str3/code/rootcause/insecures/dependences/node_modules/accepts/package.json,1,library,N/A,
pkg:npm/negotiator@0.6.3,negotiator,0.6.3,npm,/home/m3str3/code/rootcause/insecures/dependences/node_modules/accepts/package.json,1,library,N/A,
pkg:npm/deep-equal@1.0.1,deep-equal,1.0.1,npm,/home/m3str3/code/rootcause/insecures/dependences/node_modules/accepts/package.json,1,library,N/A,
pkg:npm/eslint@7.32.0,eslint,7.32.0,npm,/home/m3str3/code/rootcause/insecures/dependences/node_modules/accepts/package.json,1,library,N/A,
pkg:npm/eslint-config-standard@14.1.1,eslint-config-standard,14.1.1,npm,/home/m3str3/code/rootcause/insecures/dependences/node_modules/accepts/package.json,1,library,N/A,
pkg:npm/eslint-plugin-import@2.25.4,eslint-plugin-import,2.25.4,npm,/home/m3str3/code/rootcause/insecures/dependences/node_modules/accepts/package.json,1,library,N/A,
pkg:npm/eslint-plugin-markdown@2.2.1,eslint-plugin-markdown,2.2.1,npm,/home/m3str3/code/rootcause/insecures/dependences/node_modules/accepts/package.json,1,library,N/A,
pkg:npm/eslint-plugin-node@11.1.0,eslint-plugin-node,11.1.0,npm,/home/m3str3/code/rootcause/insecures/dependences/node_modules/accepts/package.json,1,library,N/A,
pkg:npm/eslint-plugin-promise@4.3.1,eslint-plugin-promise,4.3.1,npm,/home/m3str3/code/rootcause/insecures/dependences/node_modules/accepts/package.json,1,library,N/A,
